"id","home","work","commute","mean_calls","std_calls"
128,360050273002001,360470864001000,10,22,39
129,360470102002000,360610041001001,37,49,61
130,360811551023014,360810475001002,3,99,98
131,360810275003002,360810010001000,89,44,42
132,360050043002004,360810212001006,126,38,16
133,360470021003009,360470098001001,17,92,17
134,360850244013014,360470145004002,0,43,60
135,360610208003001,360850323001012,98,61,70
136,360810818003003,360050337003007,0,88,9
137,360050195002002,360470438002000,143,39,1
138,360850011003003,360610092001014,0,60,5
139,360050289004000,360811099001003,0,11,36
140,360470520003001,360810530001002,30,97,11
141,360050462016000,360471104002003,3,16,75
142,360850189011009,360810779081001,28,4,55
143,360470131004001,360470233001000,84,95,5
144,360610016002001,360610139007000,200,34,85
145,360050426004001,360470678001001,0,89,39
146,360470412002002,360470117001003,80,38,40
147,360470265003000,360610184001004,30,18,63
148,360610121004001,360850303023007,271,59,58
149,360610219004000,360050336004001,0,31,14
150,360050001001000,360470796011002,0,84,83
151,360470834001002,360050429021002,0,89,79
152,360850239001010,360850187023012,22,26,73
153,360470507001012,360610037002005,144,85,64
154,360470060001002,360810190001005,67,24,55
155,360050368001001,360050261001000,0,2,11
156,360610038005001,360810216001012,142,6,52
157,360810656002007,360470271001001,0,55,51
158,360610188002001,360610317044001,102,93,57
159,360470373003001,360850017001001,0,34,80
160,360810330002005,360850187012002,0,67,11
161,360811409022001,360470874012000,2,14,74
162,360850173001005,360470007001004,0,12,50
163,360610149001001,360470584002008,718,30,84
164,360850132041009,360610002012000,1,77,75
165,360610066007000,360470491003000,29,39,38
166,360470830004001,360810713042000,87,78,76
167,360470790002000,360810594001001,2,24,35
168,360470143002001,360470515001004,21,2,66
169,360810619002000,360810680003000,48,1,27
170,360470592003000,360610072001000,24,31,60
171,360050035002000,360470476003003,6,16,12
172,360610041001002,360610118001000,107,100,13
173,360610118006000,360810797012000,250,75,1
174,360610057002000,360050293011000,179,75,64
175,360850132041010,360470054002000,0,31,68
176,360470454002001,360810633011004,88,33,10
177,360810769011003,360470118002001,59,84,19
178,360470145001002,360610236002003,10,38,33
179,360610075003004,360050233021001,51,6,81
180,360470531001001,360470066003002,95,43,86
181,360610148012000,360050118003005,350,72,62
182,360610081004000,360610135001010,330,42,83
183,360050143001004,360470798021000,5,4,71
184,360610002024001,360470193001002,0,47,44
185,360610112011001,360810128001001,1213,45,28
186,360610070003000,360470330001000,237,6,89
187,360610041002001,360610044007000,294,100,69
188,360050219001011,360470330002002,9,13,48
189,360470862002002,360050338001000,18,53,52
190,360471184003002,360610088004001,0,45,82
191,360811207002011,360810535001009,0,85,73
192,360610103001000,360470145001000,2172,71,18
193,360471198003006,360470894003000,25,21,19
194,360470127002000,360811010012002,16,88,98
195,360810511002003,360050340004002,9,40,44
196,360810954001010,360850156032002,2,67,77
197,360610078004002,360610229005005,257,66,57
198,360810549002001,360810713031003,10,31,49
199,360810194001005,360810136002002,0,9,59
200,360470610022005,360470389002001,6,30,2
201,360471142021002,360470928002001,2,97,57
202,360610064005000,360470180001000,177,4,67
203,360470114001001,360811367003000,8,75,88
204,360610135002008,360610082002000,7,45,82
205,360810413001008,360470122002001,18,52,87
206,360470438002000,360470131004000,10,94,51
207,360811139002005,360050228001001,2,95,15
208,360050028001010,360810151001001,8,60,6
209,360470327001001,360470970002000,5,24,47
210,360610135001010,360810271001002,32,53,82
211,360470253002000,360810845001000,14,61,14
212,360810548001005,360050431008000,0,42,4
213,360470862001001,360050181022000,30,30,34
214,360050131002003,360470064002000,2,71,15
215,360610132004000,360610144013000,249,97,4
216,360470285021000,360050251007000,16,31,80
217,360610228002002,360610067004002,4,66,69
218,360610081004000,360810942032001,330,90,40
219,360050273001003,360610024002000,8,87,54
220,360850198003020,360610058001001,4,29,31
221,360810566002004,360610124007001,4,25,24
222,360610317044000,360610132006000,108,16,57
223,360050462012001,360810779043006,27,53,33
224,360610230001001,360810954002002,29,99,66
225,360850177005002,360050383011001,11,86,32
226,360470762001002,360810496001000,4,74,59
227,360470946003007,360850213003007,11,15,53
228,360810469004000,360610115002002,3,67,27
229,360470650002004,360470297002003,44,47,13
230,360810255001016,360470546003002,9,34,92
231,360470020002002,360850170093006,74,89,98
232,360470600003006,360850226002014,16,98,56
233,360470288003000,360810545001002,55,15,71
234,360050184001000,360050193004002,0,6,83
235,360050195003000,360610269002001,26,5,58
236,360850244013014,360470060003001,0,66,22
237,360470050001003,360050161003000,14,81,19
238,360610140006000,360050050024001,112,38,48
239,360610068002001,360470262002003,1258,42,58
240,360810954001016,360610084002002,0,52,2
241,360050237021000,360050225003001,1230,45,5
242,360610002023002,360850170103000,2,51,97
243,360610175001003,360810095001000,59,73,50
244,360610136002000,360810407004001,128,60,75
245,360810026001004,360470329002001,3,13,84
246,360470064001001,360810889014001,25,29,63
247,360470832001003,360610150023001,0,82,21
248,360470383004000,360610287003001,68,59,54
249,360050119005000,360470001003006,16,48,84
250,360470436001002,360471198003001,1,67,35
251,360470188002001,360470988001004,25,36,55
252,360810047002000,360470561001000,6,65,4
253,360810145002001,360610114022002,25,53,18
254,360610287002001,360470802003000,9,89,43
255,360810347001007,360811579015004,14,78,58
256,360810779081003,360050409002000,1,49,88
257,360610022012001,360810309041003,104,37,58
258,360810075001002,360470501002001,103,76,28
259,360610155001000,360050078004001,26,22,47
260,360850213004002,360470768003007,0,24,98
261,360470264003002,360050235021001,262,54,73
262,360470628004016,360610219003001,0,4,87
263,360470415001001,360470706002013,6,95,14
264,360470351002001,360850040007001,33,36,59
265,360470296003001,360050245012000,82,77,43
266,360050383022000,360470946003003,0,22,33
267,360811347005005,360470428001002,1,12,38
268,360050152002002,360610100002005,0,95,24
269,360810437022002,360470088001002,1,20,17
270,360810194002009,360610208002002,0,21,49
271,360811479003003,360810603001012,1,57,7
272,360610235014001,360470221001000,14,26,99
273,360810069001001,360610175003000,62,12,31
274,360610101001007,360050222003002,8379,11,89
275,360470449003001,360810361001000,54,7,13
276,360810169004001,360470906002004,15,59,97
277,360470232002000,360050204002001,46,96,42
278,360470626001003,360470834001000,1,8,22
279,360050149001002,360810352002001,80,46,41
280,360470067003000,360850226004007,70,49,25
281,360610127001000,360050356001002,491,74,31
282,360050431008001,360471142022001,151,51,77
283,360610081001001,360470610021002,274,88,58
284,360050293022002,360610050004000,8,16,73
285,360610243012001,360050229022003,35,77,12
286,360610152002000,360850323001001,47,19,19
287,360610165005000,360810711003001,228,91,3
288,360470565003000,360850146081006,106,13,38
289,360050173003001,360610173001000,53,63,23
290,360810657031003,360470427003001,1,90,40
291,360810703001002,360610279006000,2,30,70
292,360050307011001,360610155003000,26,2,27
293,360050218002001,360050211004001,8,21,65
294,360470263001004,360610082003000,6,70,67
295,360470441002001,360470085001001,8,26,80
296,360050293011000,360610126004000,45,77,87
297,360810330001008,360810458001004,0,76,30
298,360470986002003,360850050001002,1,25,81
299,360050267021001,360470525001011,2,22,92
300,360610151001000,360850029001000,33,92,39
301,360050195002002,360470200001000,143,95,50
302,360810601002002,360850239001009,28,38,26
303,360810169001001,360470501001002,12,28,10
304,360850067003000,360050288002006,28,22,18
305,360810739002000,360050215021001,20,61,36
306,360610088001006,360850036002000,10,66,16
307,360471122001005,360470015003007,3,75,56
308,360610225001004,360610110006003,51,10,14
309,360610108002000,360850036001004,104,59,91
310,360050229021004,360610088005000,3,92,62
311,360470964002003,360470056011001,14,6,64
312,360610156014000,360610177005000,175,53,34
313,360470441003002,360610038001004,3,85,84
314,360610133003000,360810481004000,177,30,57
315,360470740002003,360470415002000,42,2,16
316,360470600002004,360610187005000,0,67,37
317,360050393001001,360050431008001,21,70,88
318,360810275001001,360810414002001,20,99,13
319,360610067002003,360810922001010,145,80,12
320,360811579024005,360470386002004,2,92,3
321,360610114021000,360610055011002,133,24,42
322,360050330002000,360470326005001,58,38,51
323,360850009001000,360610040005001,0,20,43
324,360470411001000,360050462011020,4,77,27
325,360470434002001,360471058011000,36,3,65
326,360050212001000,360610009001014,38,28,27
327,360050237032001,360050215021002,37,11,81
328,360810665011002,360810185013001,4,70,93
329,360050164001001,360610200002003,0,49,3
330,360810779041000,360810803012000,5,20,52
331,360470264002001,360470356022000,67,94,52
332,360470159005001,360050394001000,320,88,53
333,360810711003001,360050235013000,16,19,28
334,360610050003002,360470205003002,160,92,59
335,360610132006000,360471182021001,208,45,10
336,360470406001001,360470511003002,6,83,33
337,360470578002000,360610110002000,105,61,42
338,360610265003001,360850011001001,7,7,3
339,360050221013000,360050243001001,18,89,33
340,360050050024000,360610194004001,47,31,73
341,360811621004001,360470530002001,0,21,42
342,360470888003000,360850319023008,1,58,42
343,360470005021001,360850074001004,39,40,37
344,360050330002001,360470690002000,15,66,93
345,360810261002000,360470232004000,0,78,62
346,360610162002000,360811471002001,163,24,15
347,360850077001010,360470818001001,0,66,32
348,360050238002001,360050277003001,0,49,32
349,360810398002005,360470149003000,0,81,82
350,360470563002003,360470114001004,34,6,3
351,360470958001004,360470130003001,0,1,23
352,360610230001001,360811579011006,29,73,18
353,360610261006000,360050420001000,12,12,31
354,360810889017002,360470864001004,20,65,99
355,360050330002000,360470210003001,58,80,74
356,360470062001002,360050213012000,56,17,74
357,360610257003003,360050309003000,31,73,95
358,360470035001001,360610139003001,105,72,15
359,360810991002002,360470192001000,12,39,8
360,360470828001002,360810928002013,32,26,50
361,360610060001007,360470052021000,5,52,31
362,360470216001001,360810934012001,1367,49,5
363,360470301001000,360050448001005,8,20,73
364,360470430003002,360050295001003,3,11,54
365,360810337001005,360610307002001,2,56,55
366,360050083004001,360470906002004,33,74,11
367,360470696021006,360470878003001,1,17,61
368,360470531002003,360050215024000,25,66,29
369,360610265005000,360850291041004,20,64,64
370,360050365013002,360810629002003,38,78,94
371,360610069001002,360470610022000,335,8,79
372,360470145001002,360850177004000,10,45,30
373,360050404001000,360050285003001,1,84,92
374,360850277042002,360610271004001,0,95,33
375,360610184001005,360610062002000,30,100,7
376,360610078007001,360050430003005,39,34,98
377,360811199001005,360810288002005,3,31,44
378,360610166002000,360610183004001,55,15,65
379,360470385004001,360471172011000,2,67,6
380,360050381003000,360470129013000,13,100,29
381,360470578002000,360810273005000,105,93,28
382,360470129013000,360470381003000,54,45,48
383,360810548001002,360470474002001,242,26,32
384,360610021002001,360471142022002,288,46,12
385,360610090005000,360610138004000,553,25,16
386,360810086002007,360470243003000,3,37,93
387,360610238011008,360470744002002,56,20,17
388,360610070001000,360810032001004,521,32,92
389,360470294001003,360610201021001,647,27,31
390,360050462016001,360470157004000,0,66,25
391,360810577003001,360470429003001,1,71,85
392,360470510012001,360610273003000,5,41,31
393,360470021001008,360470460001002,42,50,33
394,360050149001002,360610026011000,80,96,95
395,360050033003001,360610138005000,13,76,85
396,360470337002000,360470422001002,41,64,95
397,360050235011004,360050183012000,1,59,84
398,360610116002000,360050405011001,74,64,10
399,360050217001003,360850173001006,2,29,79
400,360850147002011,360810036001004,0,91,42
401,360850169011007,360470278001002,71,49,24
402,360470492002002,360470416001001,4,74,41
403,360050175004001,360610013001004,89,19,3
404,360810123012006,360610317044006,1,26,80
405,360610167004001,360470007001001,204,8,38
406,360470286002000,360470136002001,26,5,87
407,360810269022003,360470162002002,44,80,42
408,360610073004001,360610287003001,205,53,66
409,360850213002004,360470530001002,0,28,63
410,360810934023013,360610067002002,0,18,9
411,360050181024000,360610124005000,27,92,30
412,360810287003003,360610134008000,134,75,95
413,360050041004001,360050429011003,2,64,74
414,360810001001010,360470806002002,109,1,19
415,360610072004001,360810122002000,102,17,51
416,360050263005000,360050042003007,889,75,35
417,360811039003011,360810004001000,14,81,99
418,360810457001004,360610159002002,1,9,22
419,360810496002008,360470504002007,0,74,25
420,360470232002001,360050092004000,31,65,45
421,360810558001005,360850146041008,0,85,34
422,360610190001000,360810028001006,65,15,48
423,360470071001000,360610007001025,11,54,35
424,360471150003003,360050084002004,0,18,61
425,360050074003000,360470431003000,18,55,95
426,360850021001007,360810062026001,0,38,32
427,360470336002001,360470954001003,3,54,94
428,360810376003005,360050365022001,0,53,53
429,360470214001000,360810052001002,10,75,24
430,360810534012000,360810357002004,0,45,33
431,360470355002000,360810703001001,5,99,24
432,360050348004005,360610041004000,0,95,60
433,360610049003001,360810934021001,179,35,59
434,360470523004001,360050086003000,5,85,18
435,360610157002001,360470768002007,253,30,45
436,360811429002007,360810473002004,4,47,3
437,360050269001007,360470207002000,0,17,51
438,360050145003000,360470204001000,67,10,81
439,360470263001003,360050293011000,3,79,99
440,360470159001008,360610158012000,38,7,26
441,360471522002002,360470566001003,39,7,77
442,360610152006006,360470425003002,69,24,99
443,360470846002000,360470896002002,19,64,75
444,360050213021000,360470796022000,102,3,49
445,360050389004000,360050189003000,33,78,65
446,360470648001002,360050428002003,44,99,3
447,360470128011004,360470494001000,47,57,74
448,360470436003001,360050119002001,14,29,55
449,360470387004001,360050041002001,4,96,37
450,360810083002001,360050222004001,20,35,17
451,360470806001001,360470423002001,82,100,51
452,360470169005001,360610010022003,32,75,95
453,360470256001002,360610118001000,8,3,64
454,360810939003003,360471184003005,1,98,52
455,360050083003000,360811151001015,9,32,37
456,360850070001012,360471110002000,4,18,41
457,360050429023000,360050185003004,23,49,14
458,360610089005000,360050181021002,209,85,63
459,360610317031000,360470588002000,929,50,35
460,360471196003004,360470576001000,8,49,16
461,360050338004003,360610242003005,9,8,14
462,360610132005000,360470632002002,10,79,81
463,360470994001007,360050295004001,0,40,95
464,360610064001000,360610137003003,1304,31,47
465,360470043004000,360470968001002,110,69,2
466,360470112004001,360470408003001,11,76,95
467,360850029004002,360610093002000,0,46,88
468,360470563003000,360850128042012,16,76,16
469,360610106016006,360471160002002,38,36,52
470,360850170072002,360810664006007,5,90,93
471,360610197011002,360050051002007,4,88,47
472,360810206001013,360610093003000,0,45,52
473,360810506002007,360811277003003,0,43,60
474,360470022002006,360470374022001,32,88,73
475,360610125001002,360610220004004,718,86,57
476,360470508011000,360470958002008,7,18,66
477,360050301002003,360811377001004,2,42,55
478,360610183007001,360850208013009,217,37,21
479,360810273002000,360811341002009,74,35,15
480,360810997031011,360050065002004,15,20,17
481,360810542002004,360470800002001,0,77,71
482,360810281004001,360610171003000,87,2,62
483,360470527001003,360610263003000,20,86,37
484,360810121002000,360811187002005,34,2,79
485,360610106016006,360610197011002,38,85,92
486,360811010011002,360811008024011,21,21,36
487,360470397003001,360050239005000,39,32,31
488,360610155002000,360470359001001,105,32,85
489,360470954002003,360470573002001,3,41,96
490,360470499001002,360810677001004,52,44,80
491,360610206001003,360850226004007,6,51,66
492,360470355003000,360850075002001,18,86,96
493,360850244013014,360471172022002,0,88,72
494,360810174001006,360470470001003,0,83,94
495,360470398002003,360811483004011,0,13,53
496,360610074003005,360050181021002,926,7,98
497,360610180002001,360810769021001,8,46,60
498,360470756001003,360610187006001,1,10,66
499,360810026001006,360050289002000,7,58,1
500,360610185003000,360470249002000,58,35,18
501,360050221023001,360610155002000,41,18,42
502,360810236001001,360471024001003,7,10,91
503,360050248003004,360050462016000,1,82,96
504,360610067004002,360810567002000,104,67,76
505,360470231002001,360610317042003,61,80,35
506,360610183001009,360811551024000,59,12,9
507,360050219001002,360470190002000,4,60,34
508,360050285002000,360470776002002,31,85,56
509,360610056002001,360810757023001,894,2,64
510,360610181001000,360850198003020,103,10,16
511,360050221013000,360810062024000,18,11,37
512,360050195001000,360470230001003,0,63,37
513,360850277023006,360610235014000,0,98,96
514,360610226003000,360471237002003,259,69,36
515,360610026021002,360050027021002,89,19,85
516,360811291041004,360050387001002,1,45,81
517,360810353002004,360610152006006,27,85,16
518,360810271003002,360610184003001,0,77,43
519,360470382002000,360610159004002,14,48,96
520,360850112011012,360610223011000,1,40,19
521,360810997041002,360050274023000,23,41,46
522,360470261002000,360610044005005,3,86,86
523,360470510011000,360470224001000,10,3,6
524,360810073001002,360810047002001,39,75,31
525,360610155002000,360050420003000,105,13,25
526,360810972032001,360050141003003,0,41,77
527,360810001001008,360610102001004,65,16,84
528,360470896003004,360610078002005,5,86,78
529,360810098001003,360810168001001,7,96,32
530,360850105003006,360610249001004,0,69,25
531,360810124001003,360470519003006,0,88,1
532,360810683002001,360850132011000,22,64,75
533,360050064001001,360610060002003,4,93,75
534,360810377002003,360610160021001,0,93,66
535,360610183005001,360610038002000,94,1,34
536,360610317044000,360050422002001,108,1,14
537,360810161002001,360810159004001,61,94,61
538,360470908001013,360470041001001,22,68,94
539,360470023003000,360610055021001,18,88,67
540,360470157004000,360050363001000,116,49,85
541,360810556001005,360470289001002,0,91,10
542,360470345001001,360610041002002,12,72,34
543,360610236002003,360810889016002,0,39,36
544,360470041002001,360810214001000,232,95,86
545,360470656002003,360810457001005,0,62,13
546,360050403033001,360470534002001,5,88,90
547,360810580002007,360470157002000,0,44,2
548,360470892002001,360470127001002,6,39,74
549,360610138007000,360810174002000,114,31,24
550,360050297002000,360850291043000,34,36,7
551,360610022011000,360470443001001,3,42,50
552,360610182002001,360470458002004,37,55,72
553,360810664007003,360610043002001,0,10,82
554,360811113001002,360470382003002,1,20,14
555,360470692002002,360810061002000,0,26,33
556,360610026021001,360610225002000,61,86,38
557,360470478001000,360050117001003,103,22,93
558,360810884006006,360810001001011,0,59,33
559,360610065004000,360470219001001,351,15,70
560,360470460001000,360470288002000,8,68,60
561,360610032003001,360810259002001,50,25,36
562,360610106013000,360810001001009,209,87,35
563,360810105003001,360470071003000,1,57,33
564,360050218002000,360470356011000,6,66,14
565,360810942032001,360050284001014,16,45,79
566,360810469002001,360810309022004,6,90,95
567,360850112011014,360610259002002,4,18,94
568,360470531001001,360810863001000,95,80,21
569,360810792002012,360470076002001,0,1,92
570,360050199005000,360470058002002,46,23,33
571,360050385002002,360050096001005,5,15,40
572,360470994001007,360050389005000,0,27,11
573,360610110004000,360811463002003,190,39,94
574,360470514003000,360470696022000,12,26,1
575,360810062022003,360470412002001,0,29,85
576,360610041005003,360610169002000,141,100,53
577,360050238002000,360610149002000,20,85,9
578,360050071002005,360470276003000,9,79,7
579,360470445001000,360610134006001,10,71,36
580,360810407004001,360810270001005,7,55,26
581,360811047005008,360050215011001,13,15,15
582,360470281001001,360811085001000,9,73,76
583,360050310002013,360470408003002,589,75,3
584,360810916014018,360810659001006,0,15,63
585,360050183022001,360050253002003,3,65,54
586,360810216001012,360471008001000,142,8,82
587,360470516021000,360610014012002,16,92,7
588,360850006002008,360610157002001,0,52,41
589,360470065005001,360050300005001,0,24,59
590,360470444001000,360050118001001,16,84,28
591,360610245003001,360471198003001,47,29,71
592,360610072007000,360470498001001,121,65,69
593,360050235021001,360470149002002,168,13,88
594,360471022001007,360810294003007,10,82,28
595,360610083003001,360810306001009,101,87,72
596,360470085001002,360470130004001,0,77,82
597,360810198001001,360470177001017,8,16,19
598,360810803011004,360810981002011,0,10,59
599,360810443011006,360810664007010,6,21,77
600,360610137004003,360050216022001,780,87,80
601,360050286001005,360810189003004,3,67,87
602,360810053001002,360050145004003,54,48,52
603,360811008023006,360470374023000,2,27,62
604,360810845001000,360610191004001,121,40,98
605,360810279002000,360470804001000,10,45,17
606,360810568001011,360470043004004,0,82,52
607,360850277042000,360810743003000,22,70,14
608,360810779043000,360811039002006,0,36,54
609,360810997041002,360050348002000,23,24,95
610,360050173001003,360850040007003,21,25,53
611,360470502021000,360470351002001,16,44,33
612,360470670002005,360050462016000,6,47,66
613,360811409022000,360050215023001,2,78,85
614,360810063004000,360850251001007,126,74,26
615,360610126001001,360610279003000,238,96,52
616,360470520001004,360810626002008,9,58,4
617,360610309004002,360810690002009,5,12,13
618,360470464002000,360811347002002,7,97,56
619,360810087003001,360810469001002,0,89,90
620,360471006001003,360470798022003,0,2,5
621,360811621001006,360471110001000,13,49,39
622,360470575002001,360610066001000,23,90,46
623,360470411001000,360810466001003,4,36,49
624,360470608001029,360810189003003,10,23,32
625,360470936001002,360471176011002,10,10,13
626,360050237042001,360470496003004,0,10,44
627,360810024001000,360470402002000,0,37,67
628,360470262001001,360810330001001,10,85,56
629,360810646002000,360810534011005,0,81,56
630,360050403033001,360810475002008,5,89,20
631,360470674001000,360610158021000,0,26,50
632,360470275002002,360850036002008,10,7,3
633,360050431008001,360050297003000,151,43,19
634,360610148024001,360050348003006,135,10,20
635,360850181001000,360470598002001,552,57,68
636,360810052001005,360470610045001,7,20,15
637,360470323003000,360810220024002,9,49,80
638,360610114021000,360610151004003,133,37,24
639,360050084001000,360811483003021,0,37,18
640,360470256002001,360050426004002,8,31,93
641,360610184002001,360610040001000,27,35,30
642,360470108003002,360050085005000,74,69,45
643,360050070003002,360470476003003,19,83,75
644,360810857001000,360610021001003,116,16,58
645,360850009001001,360850170052025,2,49,24
646,360470453001013,360810132002002,15,17,69
647,360610216004001,360810283002000,98,95,28
648,360610016005001,360811429002007,163,89,12
649,360810189001000,360810152002004,12,89,68
650,360050381003000,360470291003000,13,37,11
651,360811039003005,360470058002003,25,5,90
652,360610317032007,360811429002008,23,33,1
653,360471196001004,360811551025001,0,84,87
654,360470003011001,360050205013000,125,18,51
655,360610065004000,360810583002002,351,68,85
656,360810709002002,360470550003002,3,8,70
657,360810243002001,360470104002001,0,67,51
658,360470508012001,360470392002001,42,80,65
659,360610217031000,360050238002001,0,5,51
660,360810803021008,360810357003002,0,4,33
661,360050405023001,360470263001002,5,82,12
662,360610006004001,360811333001007,30,37,29
663,360810358004002,360050229022002,0,42,93
664,360610309004002,360470386002001,5,28,37
665,360610183002000,360610220002001,16,75,7
666,360470106001002,360610207012000,192,47,44
667,360810095002011,360050286002003,6,95,60
668,360050096001004,360610110001000,26,92,34
669,360810409004002,360050235021001,45,32,32
670,360610154008000,360810116002002,103,67,93
671,360470876001000,360610067001001,32,79,33
672,360610220004004,360610149005000,6,57,10
673,360810245002003,360470493004002,0,3,74
674,360610228001001,360610135001009,19,57,56
675,360470984001004,360810153002002,0,20,74
676,360610099001042,360470377004002,131,70,99
677,360050195002002,360470273001000,143,72,55
678,360610177005000,360050181022001,132,17,30
679,360050429021001,360050224011002,7,41,71
680,360850208014010,360610127003001,3,79,84
681,360470142003000,360050209002000,20,37,94
682,360810884008005,360050127011001,0,17,56
683,360470958001003,360050225006000,30,18,93
684,360470600004001,360470347001001,22,13,82
685,360470728001003,360610066007000,11,12,44
686,360610154008000,360810164002004,103,100,16
687,360470908002003,360810459001004,0,13,26
688,360050413001000,360470434002001,41,11,64
689,360050216023002,360470082002000,65,43,93
690,360470834001002,360610066002001,0,7,14
691,360470506001002,360470323001000,39,90,57
692,360050415003000,360610026021000,2,6,24
693,360610233001000,360810864001006,51,33,50
694,360810261004001,360810551003001,9,15,18
695,360050133002002,360610309002000,7,68,17
696,360050383012000,360810339003001,3,70,11
697,360470439003005,360810972021029,211,78,49
